??,???,模?01,二??
14:30:51.2017,,-2,A001B002C003D004
14:30:51.5083,,-3,A001B002C003D004
14:30:51.8236,,-2,A001B002C003D004
14:30:52.1344,,-2,A001B002C003D004
14:30:52.4489,,-1,A001B002C003D004
14:30:52.7573,,-1,A001B002C003D004
14:30:53.0711,,0,A001B002C003D004
14:30:53.3837,壓合開始,1,A001B002C003D004
14:30:53.6975,,1,A001B002C003D004
14:30:54.0088,,2,A001B002C003D004
14:30:54.3238,,3,A001B002C003D004
14:30:54.6354,,3,A001B002C003D004
14:30:54.9455,,4,A001B002C003D004
14:30:55.2576,,4,A001B002C003D004
14:30:55.5731,,5,A001B002C003D004
14:30:55.8857,,6,A001B002C003D004
14:30:56.1966,,6,A001B002C003D004
14:30:56.5091,,7,A001B002C003D004
14:30:56.8240,,8,A001B002C003D004
14:30:57.1345,,8,A001B002C003D004
14:30:57.4486,,9,A001B002C003D004
14:30:57.7612,,9,A001B002C003D004
14:30:58.0720,壓力到達,10,A001B002C003D004
14:30:58.3841,,11,A001B002C003D004
14:30:58.6976,,11,A001B002C003D004
14:30:59.0093,,12,A001B002C003D004
14:30:59.3237,,13,A001B002C003D004
14:30:59.6349,,13,A001B002C003D004
14:30:59.9456,,12,A001B002C003D004
14:31:00.2607,,12,A001B002C003D004
14:31:00.5702,,13,A001B002C003D004
14:31:00.8831,,12,A001B002C003D004
14:31:01.1966,,12,A001B002C003D004
14:31:01.5072,,13,A001B002C003D004
14:31:01.8224,,12,A001B002C003D004
14:31:02.1330,,12,A001B002C003D004
14:31:02.4480,,13,A001B002C003D004
14:31:02.7583,,13,A001B002C003D004
14:31:03.0727,,12,A001B002C003D004
14:31:03.3842,,13,A001B002C003D004
14:31:03.6983,,13,A001B002C003D004
14:31:04.0094,,12,A001B002C003D004
14:31:04.3224,,13,A001B002C003D004
14:31:04.6339,,13,A001B002C003D004
14:31:04.9485,,12,A001B002C003D004
14:31:05.2583,,12,A001B002C003D004
14:31:05.5720,,13,A001B002C003D004
14:31:05.8836,,12,A001B002C003D004
14:31:06.1948,保壓時間到達,12,A001B002C003D004
14:31:06.5094,,13,A001B002C003D004
14:31:06.8243,,12,A001B002C003D004
14:31:07.1357,,12,A001B002C003D004
14:31:07.4459,,11,A001B002C003D004
14:31:07.7607,,11,A001B002C003D004
14:31:08.0710,,10,A001B002C003D004
14:31:08.3855,,9,A001B002C003D004
14:31:08.6950,,9,A001B002C003D004
14:31:09.0102,,8,A001B002C003D004
14:31:09.3203,,7,A001B002C003D004
14:31:09.6352,,7,A001B002C003D004
14:31:09.9461,,6,A001B002C003D004
14:31:10.2611,,6,A001B002C003D004
14:31:10.5709,,5,A001B002C003D004
14:31:10.8830,,4,A001B002C003D004
14:31:11.1984,,4,A001B002C003D004
14:31:11.5096,,3,A001B002C003D004
14:31:11.8238,,2,A001B002C003D004
14:31:12.1351,,2,A001B002C003D004
14:31:12.4452,,1,A001B002C003D004
14:31:12.7592,,1,A001B002C003D004
14:31:13.0701,壓合已結束,0,A001B002C003D004
