時間,邏輯點,模塊01,=二維碼
14:40:01.7146,,-2,A001B002C003D004
14:40:02.0244,,-3,A001B002C003D004
14:40:02.3382,,-2,A001B002C003D004
14:40:02.6488,,-2,A001B002C003D004
14:40:02.9607,,-1,A001B002C003D004
14:40:03.2754,,-1,A001B002C003D004
14:40:03.5879,,0,A001B002C003D004
14:40:03.8991,壓合開始,1,A001B002C003D004
14:40:04.2132,,1,A001B002C003D004
14:40:04.5239,,2,A001B002C003D004
14:40:04.8358,,3,A001B002C003D004
14:40:05.1507,,3,A001B002C003D004
14:40:05.4619,,4,A001B002C003D004
14:40:05.7730,,4,A001B002C003D004
14:40:06.0886,,5,A001B002C003D004
14:40:06.4007,,6,A001B002C003D004
14:40:06.7119,,6,A001B002C003D004
14:40:07.0237,,7,A001B002C003D004
14:40:07.3358,,8,A001B002C003D004
14:40:07.6489,,8,A001B002C003D004
14:40:07.9603,,9,A001B002C003D004
14:40:08.2736,,9,A001B002C003D004
14:40:08.5881,壓力到達,10,A001B002C003D004
14:40:08.8991,,11,A001B002C003D004
14:40:09.2107,,11,A001B002C003D004
14:40:09.5230,,12,A001B002C003D004
14:40:09.8391,,11,A001B002C003D004
14:40:10.1491,,11,A001B002C003D004
14:40:10.4615,,12,A001B002C003D004
14:40:10.7743,,12,A001B002C003D004
14:40:11.0868,,11,A001B002C003D004
14:40:11.3985,,12,A001B002C003D004
14:40:11.7128,,12,A001B002C003D004
14:40:12.0258,,11,A001B002C003D004
14:40:12.3363,,12,A001B002C003D004
14:40:12.6501,,12,A001B002C003D004
14:40:12.9609,,11,A001B002C003D004
14:40:13.2759,,11,A001B002C003D004
14:40:13.5878,,12,A001B002C003D004
14:40:13.8993,,11,A001B002C003D004
14:40:14.2129,,11,A001B002C003D004
14:40:14.5244,,10,A001B002C003D004
14:40:14.8366,,11,A001B002C003D004
14:40:15.1494,,11,A001B002C003D004
14:40:15.4635,,10,A001B002C003D004
14:40:15.7742,,10,A001B002C003D004
14:40:16.0857,,11,A001B002C003D004
14:40:16.3987,,10,A001B002C003D004
14:40:16.7141,保壓時間到達,10,A001B002C003D004
14:40:17.0257,,11,A001B002C003D004
14:40:17.3378,,10,A001B002C003D004
14:40:17.6502,,10,A001B002C003D004
14:40:17.9626,,9,A001B002C003D004
14:40:18.2745,,9,A001B002C003D004
14:40:18.5856,,8,A001B002C003D004
14:40:18.8987,,7,A001B002C003D004
14:40:19.2106,,7,A001B002C003D004
14:40:19.5262,,6,A001B002C003D004
14:40:19.8386,,5,A001B002C003D004
14:40:20.1512,,5,A001B002C003D004
14:40:20.4618,,4,A001B002C003D004
14:40:20.7754,,4,A001B002C003D004
14:40:21.0863,,3,A001B002C003D004
14:40:21.3982,,2,A001B002C003D004
14:40:21.7109,,2,A001B002C003D004
14:40:22.0236,,1,A001B002C003D004
14:40:22.3355,壓合已結束,0,A001B002C003D004
