時間,邏輯點,模塊01,二維碼
16:41:20.9823,,0,A001B002C003D004
16:41:21.2897,壓合開始,1,A001B002C003D004
16:41:21.4587,,1,A001B002C003D004
16:41:21.7696,,2,A001B002C003D004
16:41:22.2382,,3,A001B002C003D004
16:41:22.5483,,3,A001B002C003D004
16:41:22.7160,,4,A001B002C003D004
16:41:23.0291,,4,A001B002C003D004
16:41:23.4940,,5,A001B002C003D004
16:41:23.8068,,6,A001B002C003D004
16:41:23.9748,,6,A001B002C003D004
16:41:24.2901,,7,A001B002C003D004
16:41:24.7583,,8,A001B002C003D004
16:41:25.0691,,8,A001B002C003D004
16:41:25.2352,,9,A001B002C003D004
16:41:25.5492,,9,A001B002C003D004
16:41:26.0157,壓力到達,10,A001B002C003D004
16:41:26.3268,,10,A001B002C003D004
16:41:26.4934,,10,A001B002C003D004
16:41:26.8049,,10,A001B002C003D004
16:41:27.2748,,10,A001B002C003D004
16:41:27.5878,,10,A001B002C003D004
16:41:27.7540,,10,A001B002C003D004
16:41:28.0666,,10,A001B002C003D004
16:41:28.5343,,10,A001B002C003D004
16:41:28.8464,,10,A001B002C003D004
16:41:29.0149,,10,A001B002C003D004
16:41:29.3249,,10,A001B002C003D004
16:41:29.7945,,10,A001B002C003D004
16:41:30.1043,,10,A001B002C003D004
16:41:30.2739,,10,A001B002C003D004
16:41:30.5848,,10,A001B002C003D004
16:41:31.0513,,10,A001B002C003D004
16:41:31.3650,,10,A001B002C003D004
16:41:31.5314,,10,A001B002C003D004
16:41:31.8464,,10,A001B002C003D004
16:41:32.3144,,10,A001B002C003D004
16:41:32.6246,,10,A001B002C003D004
16:41:32.7916,,10,A001B002C003D004
16:41:33.1023,,10,A001B002C003D004
16:41:33.5725,,10,A001B002C003D004
16:41:33.8833,,10,A001B002C003D004
16:41:34.0515,保壓時間到達,10,A001B002C003D004
16:41:34.3628,,10,A001B002C003D004
16:41:34.8329,,10,A001B002C003D004
16:41:35.1438,,10,A001B002C003D004
16:41:35.3120,,9,A001B002C003D004
16:41:35.6226,,9,A001B002C003D004
16:41:36.0891,,8,A001B002C003D004
16:41:36.4028,,7,A001B002C003D004
16:41:36.5697,,7,A001B002C003D004
16:41:36.8836,,6,A001B002C003D004
16:41:37.3516,,5,A001B002C003D004
16:41:37.6614,,5,A001B002C003D004
16:41:37.8288,,4,A001B002C003D004
16:41:38.1403,,4,A001B002C003D004
16:41:38.6109,,3,A001B002C003D004
16:41:38.9207,,2,A001B002C003D004
16:41:39.0913,,2,A001B002C003D004
16:41:39.4023,,1,A001B002C003D004
16:41:39.5706,,1,A001B002C003D004
16:41:39.8803,壓合已結束,0,A001B002C003D004
